ccode1,ccode2,year,country1,country2
2,20,1930,United States of America,Canada
2,20,1935,United States of America,Canada
2,20,1940,United States of America,Canada
2,20,1950,United States of America,Canada
2,20,1955,United States of America,Canada
2,20,1960,United States of America,Canada
2,20,1965,United States of America,Canada
2,20,1970,United States of America,Canada
2,20,1975,United States of America,Canada
2,20,1980,United States of America,Canada
2,20,1985,United States of America,Canada
2,20,1990,United States of America,Canada
2,20,1995,United States of America,Canada
2,20,2000,United States of America,Canada
2,20,2005,United States of America,Canada
2,31,1975,United States of America,Bahamas
2,31,1980,United States of America,Bahamas
2,31,1985,United States of America,Bahamas
2,31,1990,United States of America,Bahamas
2,31,1995,United States of America,Bahamas
2,31,2000,United States of America,Bahamas
2,31,2005,United States of America,Bahamas
2,40,1935,United States of America,Cuba
2,40,1940,United States of America,Cuba
2,40,1950,United States of America,Cuba
2,40,1955,United States of America,Cuba
2,40,1960,United States of America,Cuba
2,41,1864,United States of America,Haiti
2,41,1869,United States of America,Haiti
2,41,1874,United States of America,Haiti
2,41,1879,United States of America,Haiti
2,41,1884,United States of America,Haiti
2,41,1889,United States of America,Haiti
2,41,1894,United States of America,Haiti
2,41,1899,United States of America,Haiti
2,41,1904,United States of America,Haiti
2,41,1909,United States of America,Haiti
2,41,1914,United States of America,Haiti
2,41,1935,United States of America,Haiti
2,41,1940,United States of America,Haiti
2,41,1950,United States of America,Haiti
2,41,1955,United States of America,Haiti
2,41,1960,United States of America,Haiti
2,41,1965,United States of America,Haiti
2,41,1970,United States of America,Haiti
2,41,1975,United States of America,Haiti
2,41,1980,United States of America,Haiti
2,41,1985,United States of America,Haiti
2,41,1990,United States of America,Haiti
2,41,1995,United States of America,Haiti
2,41,2000,United States of America,Haiti
2,41,2005,United States of America,Haiti
2,42,1894,United States of America,Dominican Republic
2,42,1899,United States of America,Dominican Republic
2,42,1904,United States of America,Dominican Republic
2,42,1909,United States of America,Dominican Republic
2,42,1914,United States of America,Dominican Republic
2,42,1925,United States of America,Dominican Republic
2,42,1930,United States of America,Dominican Republic
2,42,1935,United States of America,Dominican Republic
2,42,1940,United States of America,Dominican Republic
2,42,1950,United States of America,Dominican Republic
2,42,1955,United States of America,Dominican Republic
2,42,1960,United States of America,Dominican Republic
2,42,1965,United States of America,Dominican Republic
2,42,1970,United States of America,Dominican Republic
2,42,1975,United States of America,Dominican Republic
2,42,1980,United States of America,Dominican Republic
2,42,1985,United States of America,Dominican Republic
2,42,1990,United States of America,Dominican Republic
2,42,1995,United States of America,Dominican Republic
2,42,2000,United States of America,Dominican Republic
2,42,2005,United States of America,Dominican Republic
2,51,1965,United States of America,Jamaica
2,51,1970,United States of America,Jamaica
2,51,1975,United States of America,Jamaica
2,51,1980,United States of America,Jamaica
2,51,1985,United States of America,Jamaica
2,51,1990,United States of America,Jamaica
2,51,1995,United States of America,Jamaica
2,51,2000,United States of America,Jamaica
