Ccode,Nation,Major
339,ALB,Sunni
347,KOS,Sunni
373,AZE,Shia
420,GAM,Sunni
432,MLI,Sunni
433,SEN,Sunni
435,MAA,Sunni
436,NIR,Sunni
438,GUI,Sunni
439,BFO,Sunni
451,SIE,Sunni
475,NIG,Sunni
483,CHA,Sunni
520,SOM,Sunni
522,DJI,Sunni
581,COM,Shia
600,MOR,Sunni
615,ALG,Sunni
616,TUN,Sunni
620,LIB,Sunni
625,SUD,Sunni
630,IRN,Shia
640,TUR,Sunni
645,IRQ,Shia
651,EGY,Sunni
652,SYR,Sunni
663,JOR,Sunni
670,SAU,Sunni
678,YAR,Shia
679,YEM,Sunni
680,YPR,Sunni
690,KUW,Sunni
692,BAH,Shia
694,QAT,Sunni
696,UAE,Sunni
698,OMA,Sunni
700,AFG,Sunni
701,TKM,Sunni
702,TAJ,Sunni
703,KYR,Sunni
704,UZB,Sunni
705,KZK,Sunni
770,PAK,Sunni
771,BNG,Sunni
781,MAD,Sunni
820,MAL,Sunni
835,BRU,Sunni
850,INS,Sunni
