,WarNum,WarName,WarType,Ccode,Player,Side,Intnl,Unnamed: 7,StartMonth,StartDay,StartYear,EndMonth,EndDay,EndYear,Intiator,WhereFought,Outcome,Death,stateabb,ccode,year,milex,milper,irst,pec,tpop,upop,cinc,version,exact_match,war_sum_milex,war_sum_milper,war_sum_irst,war_sum_pec,war_milex_pct,war_milper_pct,war_irst_pct,war_pect_pct
0,300,Allied Bombardment of Algiers,3,210,Netherlands,1,,,8,26,1816,8,30,1816,1,6,1,13,NTH,210,1816,2375,26,50,1142,5610,337,0.0399142,2011,TRUE,19317,281,320,23670,0.122948698,0.09252669,0.15625,0.048246726
202,313,Dutch - Javanese,2,210,Netherlands,1,,,7,23,1825,3,28,1830,0,7,1,15000,NTH,210,1825,1547,28,70,1772,6097,374,0.038318,2011,TRUE,1547,28,70,1772,1,1,1,1
400,515,Belgian Independence,5,210,Netherlands,1,0,,8,25,1830,11,4,1830,,2,2,500,NTH,210,1830,2563,30,90,517,6427,393,0.0336437,2011,TRUE,2563,30,90,517,1,1,1,1
611,334,First Dutch-Bali,3,210,Netherlands,1,,,4,12,1848,6,14,1849,1,7,6,300,NTH,210,1848,1417,32,0,1375,3050,222,0.0120034,2011,TRUE,1417,32,0,1375,1,1,0,1
815,350,Netherlands-Bone,3,210,Netherlands,1,,,2,20,1859,1,20,1860,1,7,1,500,NTH,210,1859,1646,38,0,1328,3310,365,0.0102975,2011,TRUE,1646,38,0,1328,1,1,0,1
1013,356,Shimonoseki War,3,210,Netherlands,1,,,7,5,1864,9,7,1864,0,7,1,2,NTH,210,1864,1817,39,0,1285,3470,377,0.0068446,2011,TRUE,50777,822,6002,108240,0.035783918,0.047445255,0,0.011871766
1215,370,First Dutch-Achinese,3,210,Netherlands,1,,,3,26,1873,10,13,1878,0,7,1,12000,NTH,210,1873,2199,39,0,1900,3690,448,0.0083622,2011,TRUE,2199,39,0,1900,1,1,0,1
1429,402,Second Dutch-Bali,3,210,Netherlands,1,,,7,-9,1894,11,22,1894,1,7,1,1000,NTH,210,1894,3116,29,0,4408,4760,916,0.008141,2011,TRUE,3116,29,0,4408,1,1,0,1
1632,424,Second Dutch-Achinese,2,210,Netherlands,1,,,-9,-9,1904,12,-9,1907,0,7,1,13000,NTH,210,1904,3595,31,0,6076,5470,1244,0.0070463,2011,TRUE,3595,31,0,6076,1,1,0,1
1861,139,World War II,1,210,Netherlands,1,,,5,10,1940,5,14,1940,0,2,1,7900,NTH,210,1940,168422,64,153,12668,8880,2418,0.0050486,2011,TRUE,39435138,21672,142953,1972270,0.004270861,0.002953119,0.001070282,0.006423056
2055,456,Indonesian,2,210,Netherlands,1,,,11,10,1945,10,15,1946,0,7,3,800,NTH,210,1945,193451,87,118,5391,9260,2604,0.0038845,2011,TRUE,17195499,5177,12132,215816,0.011250095,0.016805099,0.009726344,0.024979612
