Year,Ccode,Nation,Christianity,Judaism,Islam_Sunni,Islam_Shia,Islam,Buddhism,Zoroastrian,Hindu,Sikh,Shinto,Bahai,Taoism,Jain,Confucianism,Syncretic,Animist,Non,Other
1945,2,USA,0.788,0.0332,0,0,0,0.0114,0,0,0,0,0,0,0,0,0,0,0.1635,0.0039
1950,2,USA,0.8077,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1482,0.0041
1955,2,USA,0.8076,0.0321,0,0,0,0.0005,0,0,0,0,0,0,0,0,0,0,0.1404,0.0193
1960,2,USA,0.8315,0.0304,0,0,0,0.0111,0,0,0,0,0,0,0,0,0,0,0.1193,0.0076
1965,2,USA,0.8607,0.0288,0,0,0,0.0056,0,0,0,0,0,0,0,0,0,0,0.102,0.003
1970,2,USA,0.8613,0.0306,0,0,0,0.0055,0,0,0,0,0.0004,0,0,0,0,0,0.102,0.0001
1975,2,USA,0.8466,0.031,0,0,0,0.0047,0,0.0007,0,0,0.001,0,0,0,0,0,0.1148,0.0011
1980,2,USA,0.8196,0.0319,0.0106,0.0011,0.0117,0.006,0,0.0044,0,0,0,0.0004,0,0,0,0.0003,0.1177,0.0081
1985,2,USA,0.8378,0.0315,0.0092,0.0013,0.0104,0.0083,0,0.0042,0,0,0,0,0,0,0,0,0.1065,0.0012
1990,2,USA,0.858,0.022,0.0081,0.0011,0.0092,0.0063,0.0002,0.0013,0.0001,0.0002,0.0036,0.0004,0,0,0,0.0003,0.0977,0.0006
1995,2,USA,0.8205,0.02,0.0081,0.0011,0.0092,0.0061,0.0029,0.0022,0.0002,0.0002,0.0026,0.0002,0,0.0001,0.001,0.0008,0.1312,0.0026
2000,2,USA,0.7897,0.018,0.0081,0.0011,0.0092,0.0088,0.0053,0.003,0.0003,0.0002,0.0016,0,0,0.0003,0.0019,0.0013,0.16,0.0004
2005,2,USA,0.7654,0.0187,0.008,0.0011,0.0091,0.0124,0.0053,0.0044,0.0009,0.0002,0.0015,0,0.0003,0.0003,0.0023,0.0036,0.175,0.0006
2010,2,USA,0.7454,0.019,0.0079,0.0011,0.009,0.0109,0.0053,0.0057,0.0013,0.0005,0.0015,0,0.0003,0.0003,0.0026,0.0057,0.19,0.0025
1945,20,CAN,0.9153,0.0154,0,0,0,0.01,0,0,0.0004,0,0,0,0,0,0.001,0,0,0.058
1950,20,CAN,0.89,0.0131,0,0,0.0001,0.0082,0,0.0001,0.0007,0,0.0001,0,0,0,0.0011,0.0036,0.0093,0.0736
1955,20,CAN,0.8877,0.0138,0,0,0.0001,0.0284,0,0.0001,0.0003,0,0,0,0,0.0109,0.0005,0.0016,0.0041,0.0526
1960,20,CAN,0.9029,0.0142,0,0,0,0.0436,0,0,0,0,0,0,0,0.0191,0,0,0,0.0201
1965,20,CAN,0.88,0.0146,0,0,0,0.0401,0,0,0,0,0,0,0,0.0191,0,0,0.0254,0.0208
1970,20,CAN,0.84,0.0135,0,0,0.0019,0.0007,0,0.0009,0.0009,0,0.0011,0,0,0.0191,0.0014,0.0006,0.0335,0.0863
1975,20,CAN,0.8685,0.0131,0,0,0.0019,0.0007,0,0.0009,0.0003,0,0,0.0013,0,0,0,0.0005,0.1056,0.0071
1980,20,CAN,0.8792,0.0126,0.0064,0.0007,0.0072,0.0009,0,0.0021,0.0004,0,0,0.0012,0,0,0,0.0061,0.0799,0.0105
1985,20,CAN,0.9014,0.0121,0.0074,0.0008,0.0082,0,0,0,0,0,0,0,0,0,0,0,0.0778,0.0004
1990,20,CAN,0.8789,0.0126,0.0081,0.0009,0.009,0.018,0.0004,0.0056,0.0087,0,0,0.0101,0,0,0,0.0003,0.0558,0.0006
1995,20,CAN,0.8503,0.0123,0.0038,0.0004,0.0043,0.0085,0.0003,0.0058,0.0067,0,0.0003,0.0048,0,0,0,0.0012,0.0945,0.0109
2000,20,CAN,0.821,0.012,0.0081,0.0009,0.009,0.0116,0.0002,0.006,0.005,0,0.0006,0.0001,0,0.0001,0,0.0021,0.1284,0.004
2005,20,CAN,0.8067,0.0106,0.018,0.002,0.02,0.0187,0.0002,0.006,0.005,0,0.0006,0.0001,0,0.0001,0,0.0021,0.1269,0.003
2010,20,CAN,0.7661,0.0099,0.0174,0.002,0.0194,0.0194,0.0002,0.008,0.008,0,0.0005,0.0001,0.0001,0.0001,0.0008,0.0021,0.1643,0.001
1975,31,BHM,0.8709,0.0041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034,0.091
1980,31,BHM,0.8294,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0186,0.033,0.116
1985,31,BHM,0.8004,0.0022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0323,0.1651
1990,31,BHM,0.8222,0.0016,0,0,0,0,0,0,0,0,0.002,0,0,0,0.0003,0,0.0205,0.1535
1995,31,BHM,0.8931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1069
2000,31,BHM,0.966,0.001,0,0,0,0,0,0,0,0,0,0.0003,0,0,0,0.0033,0.029,0.0005
2005,31,BHM,0.966,0.001,0,0,0,0,0,0,0,0,0,0.0003,0,0,0,0.0032,0.029,0.0005
2010,31,BHM,0.966,0.001,0,0,0,0,0,0,0,0,0,0.0003,0,0,0,0.0032,0.029,0.0005
1945,40,CUB,0.9277,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0
1950,40,CUB,0.8851,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0
1955,40,CUB,0.8877,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0
1960,40,CUB,0.8805,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0
1965,40,CUB,0.8413,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0
1970,40,CUB,0.7468,0.0002,0,0,0,0.0006,0,0.0004,0,0,0.0001,0,0,0,0.7,0,0.2457,0
1975,40,CUB,0.7611,0.0002,0,0,0.0001,0.0006,0,0.0004,0,0,0,0.0005,0,0,0.7,0,0.2265,0
1980,40,CUB,0.7118,0.0002,0,0,0,0.0006,0,0,0,0,0,0,0,0,0.7,0.0259,0.2505,0
1985,40,CUB,0.7482,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0.2478,0
1990,40,CUB,0.7229,0.0001,0,0,0.0008,0.0006,0,0.002,0,0,0.0001,0.0019,0,0,0.6,0,0.2426,0
1995,40,CUB,0.7763,0.0001,0,0,0.0007,0.0006,0,0.002,0,0,0.0001,0.0019,0,0,0.6,0,0.2065,0
2000,40,CUB,0.7232,0,0,0,0.0008,0,0,0,0,0,0,0,0,0,0.7,0,0.15,0
2005,40,CUB,0.6689,0.0001,0,0,0.0006,0,0,0.001,0,0,0,0.0019,0,0,0.5,0,0.1315,0
2010,40,CUB,0.6589,0.0001,0,0,0.0007,0,0,0.0022,0,0,0,0,0,0,0.5,0,0.1315,0
1945,41,HAI,0.9503,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0
1950,41,HAI,0.9506,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0
1955,41,HAI,0.8853,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0
1960,41,HAI,0.8552,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0
1965,41,HAI,0.9034,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0
1970,41,HAI,0.9372,0,0,0,0.0003,0,0,0,0,0,0.0024,0,0,0,0.5,0,0.0407,0
1975,41,HAI,0.9256,0,0,0,0.0003,0,0,0,0,0,0,0,0,0,0.5,0,0.0374,0
1980,41,HAI,0.9345,0,0,0,0.0003,0,0,0,0,0,0,0,0,0,0.5,0.0199,0.0108,0
1985,41,HAI,0.8738,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.0887,0
1990,41,HAI,0.915,0,0,0,0.0003,0,0,0,0,0,0,0,0,0,0.5,0,0.0633,0
1995,41,HAI,0.9222,0,0,0,0.0001,0,0,0,0,0,0.0006,0,0,0,0.5,0,0,0
2000,41,HAI,0.8973,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0.6189,0,0.1,0
2005,41,HAI,0.85,0.0001,0,0,0.0002,0,0,0,0,0,0.0012,0,0,0,0.7,0,0.1,0
2010,41,HAI,0.82,0,0,0,0.0002,0,0,0,0,0,0.0009,0,0,0,0.45,0,0.1,0
1945,42,DOM,0.949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051
1950,42,DOM,0.9517,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008,0.0472
1955,42,DOM,0.9753,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0246
1960,42,DOM,0.9748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0252
