Ccode,Nation,Christianity,Judaism,Islam,Buddhism,Zoroastrian,Hindu,Sikh,Shinto,Bahai,Taoism,Jain,Confucianism,Syncretic,Animist,Non,Other,Major
2,USA,0.817128571,0.027657143,0.004842857,0.006971429,0.001357143,0.00185,0.0002,9.29E-05,0.000871429,7.14E-05,4.29E-05,7.14E-05,0.000557143,0.000857143,0.13345,0.003935714,Christianity
20,CAN,0.863428571,0.012842857,0.005792857,0.014914286,9.29E-05,0.002535714,0.0026,0,0.000228571,0.001264286,7.14E-06,0.004892857,0.000342857,0.001442857,0.064678571,0.024921429,Christianity
31,BHM,0.88925,0.0017375,0,0,0,0,0,0,0.00025,0.0001125,0,0,3.75E-05,0.0035375,0.02585,0.07925,Christianity
40,CUB,0.781457143,7.14E-05,0.000264286,0.000214286,0,0.000571429,0,0,2.14E-05,0.000442857,0,0,0.692857143,0.00185,0.1309,0,Christianity
41,HAI,0.901457143,7.14E-06,0.000121429,0,0,0,0,0,0.000435714,0,0,0,0.519207143,0.001421429,0.038635714,0,Christianity
42,DOM,0.886278571,4.29E-05,4.29E-05,0.000114286,0,0,0,0,0.000214286,0.000164286,0,0,0,0.001978571,0.083935714,0.027235714,Christianity
51,JAM,0.767990909,0.000390909,0.000690909,0.0001,0,0.005545455,0,0,0.000518182,0.000936364,5.45E-05,0,0,0.017645455,0.158936364,0.047163636,Christianity
52,TRI,0.618990909,0.0003,0.054427273,0.001745455,0,0.231890909,0,0,0.001090909,0.001981818,0,0.000436364,0,0.001245455,0.039345455,0.048518182,Christianity
53,BAR,0.686622222,8.89E-05,0.004277778,0.000222222,0,0.002344444,0,0,0.002577778,0,0,0,0,0.005877778,0.143677778,0.154311111,Christianity
54,DMA,0.941014286,0,0.000428571,0.000628571,0,0.000971429,0,0,0,0,0,0,0,0,0.0299,0.027071429,Christianity
55,GRN,0.8610625,0,0.001675,0,0,0.001275,0,0,0.00055,0,0,0,0,0,0.0248625,0.110575,Christianity
56,SLU,0.946514286,5.71E-05,0.001514286,0,0,0.005085714,0,0,0.001428571,0,0,0,0,0,0.0195,0.025885714,Christianity
57,SVG,0.888471429,0,0.004757143,0,0,0.011814286,0,0,0.005457143,0,0,0,0.003142857,0.000585714,0.031742857,0.054028571,Christianity
