WarNum,WarName,WarType,Ccode,Player,Side,Intnl,,StartMonth,StartDay,StartYear,EndMonth,EndDay,EndYear,Intiator,WhereFought,Outcome,Death
300,Allied Bombardment of Algiers,3,210,Netherlands,1,,,8,26,1816,8,30,1816,1,6,1,13
300,Allied Bombardment of Algiers,3,200,United Kingdom,1,,,8,26,1816,8,30,1816,1,6,1,129
300,Allied Bombardment of Algiers,3,-8,Algeria,2,,,8,26,1816,8,30,1816,0,6,2,6000
301,Ottoman-Wahhabi,3,640,Ottoman Empire,1,,,9,-9,1816,9,11,1818,1,6,1,13500
301,Ottoman-Wahhabi,3,-8,Saudi Wahhabis,2,,,9,-9,1816,9,11,1818,0,6,2,14000
302,Liberation of Chile,2,230,Spain,1,,,1,9,1817,4,5,1818,0,1,2,1700
302,Liberation of Chile,2,-8,San Martin revolutionaries,2,,,1,9,1817,4,5,1818,1,1,1,1140
303,First Bolivar Expedition,2,230,Spain,1,,,4,11,1817,8,10,1819,1,1,2,3000
303,First Bolivar Expedition,2,-8,New Granada,2,,,4,11,1817,8,10,1819,0,1,1,2000
304,Mexican Independence,2,230,Spain,1,,,8,15,1817,1,1,1818,0,1,1,1000
304,Mexican Independence,2,-8,Mina Expedition,2,,,8,15,1817,1,1,1818,1,1,2,1000
305,British-Kandyan,2,200,United Kingdom,1,,,10,-9,1817,11,26,1818,0,7,1,1000
305,British-Kandyan,2,-8,Kandyan rebels,2,,,10,-9,1817,11,26,1818,1,7,2,10000
306,British-Maratha,2,200,United Kingdom,1,,,11,6,1817,6,3,1818,0,7,1,2800
306,British-Maratha,2,-8,Marathas,2,,,11,6,1817,6,3,1818,1,7,2,2000
500,First Caucasus,5,365,Russia,1,0,,6,10,1818,-9,-9,1822,,2,1,5000
500,First Caucasus,5,-8,"Georgians, Dhagestania, Chechens",2,0,,6,10,1818,-9,-9,1822,,2,2,6000
307,Ottoman Conquest of Sudan,3,640,Ottoman Empire,1,,,-9,-9,1820,6,-9,1821,1,4,1,4000
307,Ottoman Conquest of Sudan,3,-8,Sudan states,2,,,-9,-9,1820,6,-9,1821,0,4,2,2500
501,Sidon-Damascus,6,-8,Sidon,1,0,,6,-9,1820,7,21,1821,,6,2,-9
501,Sidon-Damascus,6,-8,Damascus & Aleppo,2,0,,6,-9,1820,7,21,1821,,6,1,-9
502,First Two Sicilies,4,329,Two Sicilies,1,1,,7,2,1820,3,23,1821,,2,1,-9
502,First Two Sicilies,4,-8,Liberals,2,1,,7,2,1820,3,23,1821,,2,2,-9
308,Second Bolivar Expedition,2,230,Spain,1,,,4,28,1821,5,24,1822,0,1,2,1000
308,Second Bolivar Expedition,2,-8,New Granada,2,,,4,28,1821,5,24,1822,1,1,1,500
309,Turco-Persian,3,640,Ottoman Empire,1,,,8,-9,1821,5,-9,1822,0,6,6,1000
309,Turco-Persian,3,-8,Persia,2,,,8,-9,1821,5,-9,1822,1,6,6,-9
502,First Two Sicilies,4,300,Austria,1,1,,3,-9,1821,3,23,1821,,2,1,-9
503,Spanish Royalists,4,230,Spain,1,0,,12,1,1821,4,6,1823,,2,4,-9
503,Spanish Royalists,4,-8,Royalists,2,0,,12,1,1821,4,6,1823,,2,4,-9
505,Sardinian Revolt,4,300,Austria,1,1,,3,10,1821,5,8,1821,,2,1,-9
505,Sardinian Revolt,4,325,Sardinia,1,1,,3,10,1821,5,8,1821,,2,1,-9
505,Sardinian Revolt,4,-8,Carbonari,2,1,,3,10,1821,5,8,1821,,2,2,-9
506,Greek Independence,5,640,Ottoman Empire,1,1,,3,25,1821,4,25,1828,,2,4,6000
506,Greek Independence,5,-8,Greeks,2,1,,3,25,1821,4,25,1828,,2,4,3000
1,Franco-Spanish War,1,230,Spain,2,,,4,7,1823,11,13,1823,0,2,2,600
1,Franco-Spanish War,1,220,France,1,,,4,7,1823,11,13,1823,1,2,1,400
310,First British-Burmese,3,200,United Kingdom,1,,,9,24,1823,2,24,1826,0,7,1,15000
310,First British-Burmese,3,-8,Burma,2,,,9,24,1823,2,24,1826,1,7,2,15000
311,First British-Ashanti,3,200,United Kingdom,1,,,1,20,1824,8,7,1826,0,4,1,1400
311,First British-Ashanti,3,-8,Ashanti-Ghana,2,,,1,20,1824,8,7,1826,1,4,2,5000
312,Liberation of Peru,2,230,Spain,1,,,2,4,1824,4,2,1825,0,1,2,2000
312,Liberation of Peru,2,-8,Latin American revolutionaries,2,,,2,4,1824,4,2,1825,1,1,1,400
507,Egypt-Mehdi,6,-8,Egypt,1,0,,3,20,1824,4,-9,1824,,6,1,-9
507,Egypt-Mehdi,6,-8,Mehdi army,2,0,,3,20,1824,4,-9,1824,,6,2,-9
313,Dutch - Javanese,2,210,Netherlands,1,,,7,23,1825,3,28,1830,0,7,1,15000
313,Dutch - Javanese,2,-8,Javanese rebels,2,,,7,23,1825,3,28,1830,1,7,2,200000
314,British-Bharatpuran,2,200,United Kingdom,1,,,11,23,1825,1,18,1826,0,7,1,400
314,British-Bharatpuran,2,-8,Bharatpuran rebels,2,,,11,23,1825,1,18,1826,1,7,2,4500
315,Brazil-Argentine,3,140,Brazil,1,,,1,1,1826,10,27,1828,0,1,2,4000
315,Brazil-Argentine,3,-8,Argentina,2,,,1,1,1826,10,27,1828,1,1,1,2000
316,Russo-Persian,3,365,Russia,1,,,9,28,1826,2,28,1828,0,6,1,5000
316,Russo-Persian,3,-8,Persia,2,,,9,28,1826,2,28,1828,1,6,2,2000
508,Janissari Revolt,4,640,Ottoman Empire,1,0,,6,14,1826,9,30,1826,,6,1,300
508,Janissari Revolt,4,-8,Janissaries,2,0,,6,14,1826,9,30,1826,,6,2,6000
506,Greek Independence,5,200,United Kingdom,2,1,,10,20,1827,10,27,1827,,2,4,80
506,Greek Independence,5,220,France,2,1,,10,20,1827,10,27,1827,,2,4,40
506,Greek Independence,5,365,Russia,2,1,,10,20,1827,4,25,1828,,2,4,60
4,First Russo-Turkish,1,640,Ottoman Empire,2,,,4,26,1828,9,14,1829,0,11,2,80000
4,First Russo-Turkish,1,365,Russia,1,,,4,26,1828,9,14,1829,1,11,1,50000
510,Miguelite War,4,235,Portugal,1,1,,7,11,1828,5,26,1834,,2,2,12000
510,Miguelite War,4,-8,Constitutionalists,2,1,,7,11,1828,5,26,1834,,2,1,8000
317,Spanish Reconquest of Mexico,3,230,Spain,1,,,7,16,1829,9,11,1829,1,1,2,1700
317,Spanish Reconquest of Mexico,3,-8,Mexico,2,,,7,16,1829,9,11,1829,0,1,1,135
319,French Occupation of Algiers,3,220,France,1,,,6,12,1830,7,5,1830,1,6,1,600
319,French Occupation of Algiers,3,-8,Algeria,2,,,6,12,1830,7,5,1830,0,6,2,3000
511,First Murid War,5,365,Russia,1,0,,-9,-9,1830,10,17,1832,,2,1,1000
511,First Murid War,5,-8,Ghazi Muhammad,2,0,,-9,-9,1830,10,17,1832,,2,2,500
512,First Albanian Revolt,5,640,Ottoman Empire,1,0,,2,-9,1830,11,-9,1831,,2,1,5000
512,First Albanian Revolt,5,-8,Albanians,2,0,,2,-9,1830,11,-9,1831,,2,2,10000
513,First French Insurrection,4,220,France,1,0,,7,25,1830,7,29,1830,,2,2,400
513,First French Insurrection,4,-8,Liberals,2,0,,7,25,1830,7,29,1830,,2,1,1800
515,Belgian Independence,5,210,Netherlands,1,0,,8,25,1830,11,4,1830,,2,2,500
515,Belgian Independence,5,-8,Belgians,2,0,,8,25,1830,11,4,1830,,2,1,600
510,Miguelite War,4,200,United Kingdom,2,1,,7,1,1831,5,26,1834,,2,1,100
