WarName,Year,Ccode1,Player1,Ccode2,Player2,Initiator,TradePercent
Franco-Spanish War,1823,230,Spain,220,France,0,
Franco-Spanish War,1823,220,France,230,Spain,1,
First Russo-Turkish,1828,640,Ottoman Empire,365,Russia,0,
First Russo-Turkish,1828,365,Russia,640,Ottoman Empire,1,
Mexican-American,1846,70,Mexico,2,United States of America,0,
Mexican-American,1846,2,United States of America,70,Mexico,1,
Austro-Sardinian,1848,337,Tuscany,300,Austria,0,
Austro-Sardinian,1848,325,Italy,300,Austria,1,
Austro-Sardinian,1848,300,Austria,337,Tuscany,0,
Austro-Sardinian,1848,300,Austria,325,Italy,0,
Austro-Sardinian,1848,300,Austria,332,Modena,0,
Austro-Sardinian,1848,332,Modena,300,Austria,0,
First Schleswig-Holstein,1848,255,Prussia,390,Denmark,1,
First Schleswig-Holstein,1848,390,Denmark,255,Prussia,0,
Roman Republic,1849,220,France,327,Papal States,1,
Roman Republic,1849,329,Two Sicilies,327,Papal States,0,
Roman Republic,1849,300,Austria,327,Papal States,0,
Roman Republic,1849,327,Papal States,220,France,0,
Roman Republic,1849,327,Papal States,329,Two Sicilies,0,
Roman Republic,1849,327,Papal States,300,Austria,0,
La Plata,1851,160,Argentina,140,Brazil,0,
La Plata,1851,140,Brazil,160,Argentina,1,
Crimean,1853,640,Turkey,365,Russia,1,
Crimean,1855,325,Italy,365,Russia,0,
Crimean,1854,220,France,365,Russia,0,
Crimean,1854,200,United Kingdom,365,Russia,0,
Crimean,1853,365,Russia,640,Turkey,0,
Crimean,1853,365,Russia,325,Italy,0,
Crimean,1853,365,Russia,220,France,0,
Crimean,1853,365,Russia,200,United Kingdom,0,
Anglo-Persian,1856,200,United Kingdom,630,Iran,1,
Anglo-Persian,1856,630,Iran,200,United Kingdom,0,
Italian Unification,1859,325,Sardinia/Piedmont,300,Austria,0,
Italian Unification,1859,300,Austria,325,Sardinia/Piedmont,1,
Italian Unification,1859,300,Austria,220,France,1,
Italian Unification,1859,220,France,300,Austria,0,
First Spanish-Moroccan,1859,600,Morocco,230,Spain,0,
First Spanish-Moroccan,1859,230,Spain,600,Morocco,1,
Italian-Roman,1860,325,Sardinia/Piedmont,327,Papal States,1,
Italian-Roman,1860,327,Papal States,325,Sardinia/Piedmont,0,
Neapolitan,1860,329,Two Sicilies,325,Sardinia/Piedmont,0,
Neapolitan,1860,325,Sardinia/Piedmont,329,Two Sicilies,1,
Franco-Mexican,1862,70,Mexico,220,France,0,
Franco-Mexican,1862,220,France,70,Mexico,1,
